Minisector,VER,BOT,Fastest
0,303.05666678303027,297.0748188289855,VER
1,257.992856431746,252.0379326978751,VER
2,199.68816607810137,197.75781442457756,VER
3,265.47665068051947,266.3705698751781,BOT
4,232.7943913698237,233.07440533333332,BOT
5,120.75384998829102,122.81702406967906,BOT
6,181.78703893692278,180.23884664685716,VER
7,258.9434609527308,260.05933294933334,BOT
8,291.6561984088598,295.5774211590848,BOT
9,306.7149802920635,309.8762500266667,BOT
10,314.0278509313283,313.8076516358125,VER
11,226.65566623452096,240.18092947692307,BOT
12,151.96545854345146,145.09256566735098,VER
13,260.92808283514574,260.3886827294219,VER
14,293.375568504146,296.1519747455162,BOT
15,306.06925600761906,306.9775,BOT
16,304.00189988193165,301.11190466031746,VER
17,266.44283758412695,269.0413043478261,BOT
18,185.6520097078296,185.09205185344803,VER
19,185.50801284561447,192.48956866054976,BOT
20,185.7647197044733,179.47557585713167,VER
21,250.37579417859507,247.29611952491393,VER
22,126.69624430089479,126.38971775975403,VER
23,197.31460459174602,195.23681009951804,VER
24,279.0044360587454,277.14412901818184,VER
25,,295.32500053333337,BOT
