Minisector,HAM,GAS,Fastest
0,290.02803108810457,283.9668939393939,HAM
1,161.72397885446438,154.70618281316789,HAM
2,172.91668245450023,175.27297621471862,GAS
3,253.99094713634688,251.88371936907828,HAM
4,282.97447919919193,279.79941379518453,HAM
5,251.22325979484884,243.5622453548896,HAM
6,226.51628059654323,218.92915549302833,HAM
7,152.49442697936607,149.41309416081907,HAM
8,227.6616124216889,224.8603094074074,HAM
9,277.54959257981494,280.4547727030303,GAS
10,296.26500636818713,299.3600888313213,GAS
11,302.8733872364827,308.229644089685,GAS
12,305.74185465797825,309.87083333333334,GAS
13,307.57318374472936,301.08889111619044,HAM
14,134.21264774699293,132.72995169557868,HAM
15,123.94448683960108,121.20224781365552,HAM
16,103.05889905867068,101.14686718160758,HAM
17,233.8267496010442,229.198391056704,HAM
18,285.6946441504974,286.29823701043085,GAS
19,303.923421870548,306.7286470882382,GAS
20,312.87022803640474,316.5473376480994,GAS
21,317.5365497263158,313.75847597071896,HAM
22,125.01136135422496,115.71767100178931,HAM
23,205.7958228143777,197.20913058988555,HAM
24,266.6783066451948,267.8788945982338,GAS
25,,281.0,GAS
