Minisector,NOR,STR,Fastest
0,288.95991560638214,289.4317739342443,STR
1,159.5003371270963,156.53977192260584,NOR
2,152.7308458936063,150.5271768,NOR
3,229.00928647068076,226.59328814992267,NOR
4,283.357815347412,284.9747701842607,STR
5,283.202081550045,286.5326069068323,STR
6,147.2077959720322,143.30192345855784,NOR
7,145.84691774630392,139.93132988051948,NOR
8,142.21176150297742,148.17254594896937,STR
9,190.23488558451356,179.90834776538512,NOR
10,133.68512768755085,133.92715523031734,STR
11,120.69792804535231,124.73395135336402,STR
12,174.30061373467785,159.42486198388278,NOR
13,268.5917721142089,263.3907340123336,NOR
14,282.22018397229436,286.55052075555557,STR
15,152.3122993798797,153.54303170824622,STR
16,210.77964814530728,210.47136807481468,NOR
17,175.52829702303308,166.60414181809708,NOR
18,272.15324878095237,269.31770737777777,NOR
19,292.90851431884056,293.9937498181818,STR
20,304.467828658601,307.98514003083903,STR
21,310.94223481212117,316.60604159999997,STR
22,312.83708336,319.5574560561404,STR
23,315.02875002666667,321.02291658666667,STR
24,313.34404759365077,319.59642864761906,STR
25,308.0,315.1333333333333,STR
