Minisector,PIA,LAW,Fastest
0,328.99536458333336,314.86271990891356,PIA
1,224.6163542746495,216.87211483078238,PIA
2,134.93163562999501,128.19964133169324,PIA
3,220.3673149511111,213.1982028158373,PIA
4,265.1332098765432,261.8467103515844,PIA
5,292.57598897582415,290.5954955962437,PIA
6,302.0974172511006,308.62918256747696,LAW
7,279.1014705882353,283.69659987606445,LAW
8,180.36806784792,172.038437818658,PIA
9,243.38427736006682,242.5235644381557,PIA
10,267.70626148705094,272.0155057638083,LAW
11,260.42648838857144,257.35020338147183,PIA
12,214.91852813852813,199.4364780418612,PIA
13,127.33748194481075,122.5852075127526,PIA
14,122.70197606329675,123.81311303960516,LAW
15,175.66008387445888,152.66033561943487,PIA
16,121.42564367195314,131.39445971942632,LAW
17,230.99675505050507,221.60445983758515,PIA
18,183.7941424514271,165.69278032462447,PIA
19,164.59576707724867,167.41432929756664,LAW
20,248.43889704981157,246.9280691723017,PIA
21,276.9178042328042,274.7641436864698,PIA
22,294.4988234875817,295.74201092131165,LAW
23,304.6954676042723,315.01431447215685,LAW
24,310.5018576388889,327.6619205710204,LAW
25,312.0,,PIA
