Minisector,VET,STR,Fastest
0,302.76145128425827,298.6535217259979,VET
1,240.2282818176661,237.94665663014717,VET
2,196.82873665608466,189.60211894707658,VET
3,270.6230989399171,262.2760156616412,VET
4,228.91693529462367,219.87455054637962,VET
5,109.73099645548429,110.75712230542071,STR
6,178.73185904509967,177.42722325354887,VET
7,257.79508944761903,258.2476527199525,STR
8,283.95721778109504,284.26635357824847,STR
9,297.4431666773333,296.68116697600004,VET
10,301.1355902222222,299.18038186666666,VET
11,236.82987737265745,225.82056943333333,VET
12,145.77727289108546,147.21612424195655,STR
13,257.6302934366567,255.76993049509244,VET
14,288.1881045389918,287.3339748102564,VET
15,296.1361112,291.19928587200945,VET
16,283.6721291860455,278.95178347641536,VET
17,245.6253170336508,238.72974072005078,VET
18,172.48088771580942,176.81794651241867,STR
19,179.61774923767612,175.90150598383144,VET
20,176.99456894095238,176.60783455994755,VET
21,242.49237015199944,236.73575136344084,VET
22,123.01191620696929,119.49746413346446,VET
23,186.62515699596116,200.79150599737488,STR
24,281.21309550769234,279.4613789128205,VET
