Minisector,GIO,KVY,Fastest
0,314.86064667745853,338.06706171951225,KVY
1,223.5807135063403,268.7070096916104,KVY
2,135.35458538965736,126.84751417046914,GIO
3,221.9995123073441,218.82916666666665,GIO
4,265.9213130588566,262.75478294581364,GIO
5,291.6825038545855,289.0152057743316,GIO
6,308.15997566550163,305.0,GIO
7,270.6627932648111,290.541238147081,KVY
8,169.38486950176042,177.413174427975,KVY
9,245.3633516279494,240.94585182567266,GIO
10,276.5382464112273,271.5865671705156,GIO
11,255.42645776047138,262.1324263802954,KVY
12,204.36335377684162,204.13717106512965,GIO
13,121.65690235953407,132.99389841750042,KVY
14,128.3147286781746,126.6806297747731,GIO
15,164.00094436252536,166.97232824327764,KVY
16,125.50268392582542,125.52446069312744,KVY
17,236.39410527688725,230.95362927434516,GIO
18,173.283179194523,184.52018611726825,KVY
19,166.8776862011618,169.34629929613388,KVY
20,251.1116103489762,251.27505938064522,KVY
21,280.37987511141966,279.0528098789213,GIO
22,301.20546448610344,292.71440647023985,GIO
23,318.88645773935065,303.4144580434759,GIO
24,330.05357142857144,309.12281563632206,GIO
25,333.4291669333333,,GIO
