Minisector,LEC,NOR,Fastest
0,273.16798514622826,270.7930380421602,LEC
1,290.8997371338528,290.7049072998068,LEC
2,283.01926817463357,257.6285175944462,LEC
3,153.5195098862298,147.59417415897602,LEC
4,197.30051472680745,183.3769846272165,LEC
5,170.14271331732192,171.2093871691517,NOR
6,167.10413883689594,158.84587461561262,LEC
7,193.30053157822258,189.1080112360471,LEC
8,239.2409152262095,238.34300055437325,LEC
9,234.1306575663711,214.0278673531699,LEC
10,145.78795012142956,136.94430157093166,LEC
11,219.7937474940388,208.91695197581026,LEC
12,108.43246563464334,101.6733313923169,LEC
13,212.14628475481265,216.49631729997884,NOR
14,263.50268092812263,264.8676844007925,NOR
15,276.3801337653212,261.35976714989897,LEC
16,175.4479837279552,160.06384917872984,LEC
17,157.10328725453633,157.09341421556937,LEC
18,254.156067941439,253.06546682908737,LEC
19,282.0097446671261,280.45559690225895,LEC
20,292.15238432507937,291.6027731116883,LEC
21,285.766743657997,264.16624167794026,LEC
22,242.96119179564627,203.95982742944315,LEC
23,102.65241241261258,104.03811124260949,NOR
24,222.80594900230648,221.0017742908759,LEC
25,258.5857133714286,,LEC
