Minisector,PER,TSU,Fastest
0,293.5941900373804,280.05529650086953,PER
1,320.4683112022611,296.7541331085133,PER
2,311.8718549237605,293.1275681532275,PER
3,182.59613628459138,174.31475541364853,PER
4,216.25841728897083,213.2132166702381,PER
5,204.78147891436078,198.6180124181164,PER
6,181.3714856589932,176.7466021621387,PER
7,206.84952305848307,197.66921465650796,PER
8,255.35287096801133,252.90067546920633,PER
9,264.41744397176853,258.5326915453968,PER
10,161.80654702847923,164.4511178390887,TSU
11,232.44794425805813,235.5770964716315,TSU
12,116.61933462263552,110.95192009879707,PER
13,224.3203811855501,217.41008521909708,PER
14,277.2604607808577,274.96250440362985,PER
15,292.15185830272316,290.1764165568,PER
16,207.7528984319029,206.42797859905875,PER
17,189.6102172186611,181.67763058943086,PER
18,267.45895531249334,263.97873775735536,PER
19,293.3716095240513,289.04717702353634,PER
20,306.09326024965975,299.8706195693827,PER
21,307.9430010011806,300.97132384705236,PER
22,261.7281491771428,269.49992994341363,TSU
23,116.85171662114486,112.66136815137246,PER
24,240.04650371914613,231.51053333516188,PER
25,274.65376150833544,267.25449566446815,PER
