Minisector,RIC,HAM,Fastest
0,312.24769650516885,300.9833785154457,RIC
1,227.99111393733511,234.64661655931758,HAM
2,139.99060014146605,144.47278019937434,HAM
3,225.35415434909137,223.16280782271892,RIC
4,263.7891964509455,265.98172298001623,HAM
5,288.42916613333335,291.0636072296228,HAM
6,305.17983521493153,305.6183913155296,HAM
7,264.7485249115767,285.5165503717188,HAM
8,174.7436793250928,183.5635263607386,HAM
9,244.976638440051,245.5747537325407,HAM
10,275.1665915707171,274.2241464520154,RIC
11,256.7547177275071,264.20799794473555,HAM
12,202.80995516634582,213.39959655175798,HAM
13,127.82095686020484,132.69252359693888,HAM
14,128.73363306580583,130.6353447070586,HAM
15,164.49534611623523,165.9959462473586,HAM
16,129.74863619186064,131.36277993898918,HAM
17,227.22567366425474,236.53656856727176,HAM
18,181.5198395378797,187.59640909361704,HAM
19,169.39851959909734,175.975535743522,HAM
20,250.82679322411968,250.9276211805162,HAM
21,277.6026940572373,276.2262706171213,RIC
22,293.31852405587057,292.69839491383385,RIC
23,303.2313120604466,302.51054420965903,RIC
24,309.26559679912873,308.32675653816284,RIC
25,311.0,,RIC
