Minisector,STR,ALB,Fastest
0,281.4060509651452,280.3687981424142,STR
1,254.07522802174384,251.61966669598232,STR
2,270.27481834836533,273.64137135379326,ALB
3,286.303703762963,287.26098305459715,ALB
4,126.33684512830591,122.99678911507081,STR
5,206.14769856754916,207.67621499153702,ALB
6,265.6655150268138,272.10859850535843,ALB
7,289.5172018507411,303.1989803242308,ALB
8,301.7464776039017,317.8906751189545,ALB
9,308.05,325.86344984382833,ALB
10,297.4713584,304.2086401309126,ALB
11,105.40143953890832,100.85053808933006,STR
12,220.22400447075668,221.80682697662286,ALB
13,269.77967100216046,271.3679247501688,ALB
14,277.0266027485293,268.285064807867,STR
15,128.382605183746,130.8815236377144,ALB
16,200.33980822465216,197.7205305791416,STR
17,254.6240415937106,249.85284231368928,STR
18,253.89262516490982,257.55883930608496,ALB
19,248.48818483969424,237.31316488444767,STR
20,148.65827844810494,148.48254510729024,STR
21,182.60809098940402,185.5865757971446,ALB
22,170.34115997807595,163.62928156639327,STR
23,188.0161594690906,183.7403668445388,STR
24,247.07847071737547,248.18690332522328,ALB
