Minisector,BOT,TSU,Fastest
0,249.6927316597456,246.83975486802723,BOT
1,283.51902172753626,282.278638620828,BOT
2,183.88194039814937,186.9195695780842,TSU
3,150.06069202859751,146.55303276451522,BOT
4,257.29382716049383,257.9155829196148,TSU
5,264.86336098694505,263.0172152380952,BOT
6,212.46458333333334,210.70887614124746,BOT
7,192.27617589169742,184.06231787089948,BOT
8,151.80313659030483,152.18805360653275,TSU
9,207.68333333333334,202.6182632665716,BOT
10,269.9984727089266,273.6690006186667,TSU
11,124.40862230494861,122.17574604784845,BOT
12,205.68846748552045,197.62383791403485,BOT
13,270.12586809052095,270.29952952380955,TSU
14,292.3539370222433,290.8494796,BOT
15,302.26213769275364,298.7301377626895,BOT
16,251.42887175727193,251.99752600493827,TSU
17,131.6322044558945,127.92959218712814,BOT
18,126.07580157636448,125.35383306181582,BOT
19,117.7870583273292,116.14448261727422,BOT
20,224.70597289720857,221.07384775472084,BOT
21,247.30052121289313,250.1165131851852,TSU
22,232.30909272906405,237.74862081213394,TSU
23,214.24230181371266,214.79544276190475,TSU
24,137.44186651919014,134.12936241450393,BOT
25,217.55,213.11428845714283,BOT
