Minisector,VER,GAS,Fastest
0,277.9276960627451,279.0706286474424,GAS
1,299.6297224533334,301.11694449777775,GAS
2,310.9265625333333,312.10169110812916,GAS
3,317.81904754285716,319.46888888888884,GAS
4,321.66547619047617,324.15659340659346,GAS
5,322.1596846581734,326.4186109866667,GAS
6,199.52280827733333,188.52806240157707,VER
7,112.1798854441113,103.10896114216449,VER
8,193.65094353015874,189.4876899878788,VER
9,266.23564115975194,267.52402032941177,GAS
10,292.3367462704762,296.2284329775442,GAS
11,159.09692345396826,151.99581337757294,VER
12,103.37858018138436,95.62146395420092,VER
13,123.06084653968254,116.11583734937344,VER
14,220.76771106449416,220.56493087960223,VER
15,195.1539607173875,181.94193541259693,VER
16,234.15232561718983,214.71047752373448,VER
17,185.16910840222326,172.35116304162273,VER
18,244.69117647058823,239.142531032381,VER
19,282.62086884553355,281.99479253333334,VER
20,249.61104650165467,238.40558783533083,VER
21,150.63745983748183,140.61194237741378,VER
22,102.80251875221443,94.03289772390225,VER
23,130.7584498270775,120.06787133409738,VER
24,230.33207382800063,233.18792694421768,GAS
25,259.03333546666664,,VER
