Minisector,PIA,NOR,Fastest
0,258.52060871657943,264.980157566377,NOR
1,138.62242979744147,133.74843026892114,PIA
2,272.16297145609184,271.4275375907489,PIA
3,311.40926165376146,316.6202423572368,NOR
4,310.55629510715903,315.65302576203175,NOR
5,318.3803905797088,327.5731085274622,NOR
6,322.85011908266665,333.2847655012121,NOR
7,321.6579349206349,339.62208315944133,NOR
8,203.5160739438164,197.64083539396765,PIA
9,202.25553631371764,202.79706129575337,NOR
10,174.6606629620241,178.63951334300089,NOR
11,182.50766470909556,172.79358332132892,PIA
12,260.6530706647471,260.27457661063903,PIA
13,276.04229842672004,279.4808804138146,NOR
14,286.21088623081295,287.97653572613126,NOR
15,268.23739344641007,271.49500525714285,NOR
16,180.57198101449754,178.46158355649362,PIA
17,202.3738972854975,200.20066251598087,PIA
18,247.93221079056195,251.34352340689946,NOR
19,292.1169111111111,292.26145756025835,NOR
20,311.95848899226297,313.2923340794876,NOR
21,317.905088985089,319.91400879836516,NOR
22,313.4972946656275,317.05458805229597,NOR
23,241.0789393900498,240.28074788942618,PIA
24,125.864287106814,124.02252173415833,PIA
25,234.47000192,,PIA
