Minisector,PIA,LAW,Fastest
0,314.2054420209606,317.16313094276336,LAW
1,309.64751586871796,313.3707730690909,LAW
2,156.9437824515193,166.25187647728677,LAW
3,161.53675195593152,159.1767163019174,PIA
4,203.6902899178939,197.16467117894973,PIA
5,157.70311338666457,147.58303673513421,PIA
6,209.7138672103266,203.31122270153458,PIA
7,274.36031926827553,271.62480112818946,PIA
8,291.26173498560377,292.41948953641736,LAW
9,281.83135954040404,286.0664060286731,LAW
10,243.49657456995334,235.7208032036281,PIA
11,248.02639557099488,240.7256410543679,PIA
12,219.50163583135847,211.93451388099396,PIA
13,177.06800077564677,175.78965877846076,PIA
14,136.91992501362336,139.6300307889324,LAW
15,132.66515031130578,131.3087529862972,PIA
16,203.8506256451505,206.33674892722246,LAW
17,271.4032569402645,268.2384922212819,PIA
18,207.2414022647517,185.85885433553113,PIA
19,115.80767457436473,115.5379047443696,PIA
20,210.82457319529087,207.38057515701465,PIA
21,189.5981130842704,181.10261769294917,PIA
22,245.16032893853668,252.70908634030974,LAW
23,280.5715859805519,278.6427670418638,PIA
24,306.96673766543415,305.7774244614966,PIA
