Minisector,ALB,HAD,Fastest
0,320.3838427349962,310.1523725850882,ALB
1,226.48090194349066,222.8023448363285,ALB
2,127.256586197595,126.55675089440105,ALB
3,220.51635079601533,234.1184942503212,HAD
4,182.29511849890568,182.10627827848037,ALB
5,237.3673564123075,240.51030740083897,HAD
6,218.83908304873268,221.57492931433268,HAD
7,258.05018956576646,254.17853789029652,ALB
8,294.29000019146997,293.10408051395166,ALB
9,185.4881782149648,201.43600829355373,HAD
10,207.65842012412455,203.700552804676,ALB
11,275.9580479718103,275.40704871009524,ALB
12,206.53128939623326,212.8837847582275,HAD
13,254.40524565447961,241.93512946184575,ALB
14,297.0724617066667,292.3245192819899,ALB
15,314.2437173264733,316.6184004419068,HAD
16,312.45893832,320.1756880372487,HAD
17,202.21463661943537,204.74233963359984,HAD
18,262.62356229795097,256.5552889921879,ALB
19,303.2016793541686,298.79503027103027,ALB
20,324.2874997376871,316.3175790858925,ALB
21,330.84214284952384,321.7488491911111,ALB
22,145.61465812068278,149.82415582824137,HAD
23,238.39132476610783,226.94733170056438,ALB
24,296.75535743797667,291.99525443480405,ALB
25,,306.81333333333333,HAD
