Minisector,VER,BOT,Fastest
0,296.7139423179487,310.2617119890284,BOT
1,239.47718769934167,239.06388806464645,VER
2,133.50047061224916,131.43012905584038,VER
3,237.0284837618474,239.39502618108074,BOT
4,193.66087739513475,186.1225261000414,VER
5,246.7867063718944,245.18364762891795,VER
6,235.98407722857144,226.7702014433583,VER
7,259.16743017360113,256.66599497634405,VER
8,285.5376489904762,293.43427445144323,BOT
9,213.22291054124656,205.3479159338346,VER
10,205.2716970921835,205.6702754978918,BOT
11,268.7024641384516,275.06615367356324,BOT
12,214.90249898891824,209.56703261983918,VER
13,253.0954804931118,252.6248989572258,VER
14,289.5360256077637,294.134833069545,BOT
15,297.81009612307696,311.4759647751608,BOT
16,295.158499968,314.5069789740865,BOT
17,243.92784552249435,225.83733500656157,VER
18,268.86840635164884,269.9005509939607,BOT
19,294.4661862974359,304.20316680533335,BOT
20,302.8511217641026,320.7797010692461,BOT
21,298.1116985846154,318.41173092698415,BOT
22,156.71774603834436,149.24616158028226,VER
23,234.93047240798506,239.64616527305247,BOT
24,286.74148262706024,299.77894323420577,BOT
