Minisector,HAM,VER,Fastest
0,257.385712067741,258.03360541239806,VER
1,136.9730975483037,142.81434521857452,VER
2,265.43262854965985,267.23931426359115,VER
3,306.89416231624585,309.5471247167947,VER
4,306.05071428571426,308.93986303070574,VER
5,315.28193808349675,316.4362698677954,VER
6,320.37213827838826,320.40943751991114,VER
7,320.090902175224,315.25015123793946,HAM
8,204.34363068161312,200.12117152163347,HAM
9,205.61899004535613,203.83725697655584,HAM
10,182.72718569861271,182.15068124935857,HAM
11,172.53692745474447,181.8299348161665,VER
12,259.9493295130795,259.58104240456237,HAM
13,279.80761850142983,276.1770801323232,HAM
14,287.0161950250441,284.7842705773754,HAM
15,273.25987286209175,270.6744672741895,HAM
16,178.2265798181322,185.611725059839,VER
17,196.71850791113187,196.21506433189313,HAM
18,244.29678819914102,250.34687189542427,VER
19,286.49684639094204,289.614694138883,VER
20,305.39023333333336,308.9846604181242,VER
21,311.5333770172093,314.50964284675325,VER
22,308.92554563492064,308.9942967791979,VER
23,251.66416479259593,246.22566054930874,HAM
24,126.51728664351273,122.89450723182682,HAM
