Minisector,LEC,VET,Fastest
0,245.3381896827586,242.55471255281518,LEC
1,279.51180555555555,268.36733333333336,LEC
2,187.45750643656555,184.1382699685731,LEC
3,154.18816290909092,156.5035725460033,VET
4,255.79296988607717,258.0570512820513,VET
5,273.6139047619048,259.77362182564104,LEC
6,218.24098160639346,206.28480392156862,LEC
7,197.2113774976871,198.97080953904762,VET
8,151.6503306538639,147.91102988054902,LEC
9,211.9120096887617,209.3421875,LEC
10,272.59583333333336,265.10160258461536,LEC
11,128.18545702717367,127.59507205364712,LEC
12,206.33769136649863,208.3653298761101,VET
13,269.1148351648352,265.55685837705465,LEC
14,289.6654951766528,286.5966666666667,LEC
15,297.88999680738425,290.722463768116,LEC
16,252.2393515851852,237.94537439344913,LEC
17,133.57521097428085,135.45080795241554,VET
18,128.5394589828105,129.09593114004088,VET
19,120.32852110320545,118.94575999508436,LEC
20,222.1710523579312,217.66612903225806,LEC
21,250.93086419753087,249.59225486549084,LEC
22,244.88021019858266,238.21904761904761,LEC
23,225.07871002412696,218.3821994606811,LEC
24,142.31148519343185,139.81915512990474,LEC
