Minisector,NOR,PIA,Fastest
0,313.5736986952381,311.9285502630767,NOR
1,325.0309050238924,325.3626397025571,PIA
2,328.80571187364853,330.4895725873555,PIA
3,311.2959844667086,314.1421758630065,PIA
4,153.21457027897125,154.10664783542296,PIA
5,186.96741846683727,187.88556379583596,PIA
6,215.70278098359734,213.60080305627545,NOR
7,259.9000531917133,258.64938255530427,NOR
8,239.30238606335382,235.66470345049157,NOR
9,151.84465550314243,151.8728781465374,PIA
10,203.91181028313167,212.09315631041557,PIA
11,127.45558598008023,118.29573744503983,NOR
12,233.47535400173163,229.48646715494928,NOR
13,157.94977806843744,165.98336954735052,PIA
14,214.982941925409,207.74535627400684,NOR
15,224.98058220638583,216.6553326357672,NOR
16,261.55091306046336,253.48243687669378,NOR
17,289.87261416605827,286.0301334988203,NOR
18,152.80607710866428,144.42423918699558,NOR
19,159.79168227772035,155.51429233324487,NOR
20,135.69075947582638,135.38560443128486,NOR
21,226.5600036832368,222.5333592677235,NOR
22,248.86791534488438,249.9591775820543,PIA
23,233.92192038780385,232.75767623798566,NOR
24,283.71088370022534,275.69332132826554,NOR
25,,302.93779750886193,PIA
