Minisector,RUS,HAM,Fastest
0,281.0456025657414,281.8659765127806,HAM
1,295.8429698117293,297.50035806653966,HAM
2,289.2019283324445,291.1137230766497,HAM
3,177.43044641196624,182.04047501837053,HAM
4,223.9477781026274,220.73766665058199,RUS
5,203.73380179676954,207.49047500617553,HAM
6,179.57464574637012,186.37386419332995,HAM
7,209.3131846154488,213.71118550422725,HAM
8,259.05127405686153,261.8612995565525,HAM
9,263.7133555000412,271.3704650811415,HAM
10,168.59182710762394,166.8462627707519,RUS
11,239.95683482043293,238.38902462330228,RUS
12,120.81299077476861,116.78194306633388,RUS
13,220.9306458172583,225.5138962890807,HAM
14,274.4138256349681,275.732687761679,HAM
15,292.3362498618182,293.49837596671125,HAM
16,215.9493779100936,213.5905966125029,RUS
17,184.57266936639436,193.43004081600023,HAM
18,268.03234085748915,265.80409128522047,RUS
19,289.693350029932,291.2204062521457,HAM
20,300.83407271782255,301.35137321469387,HAM
21,299.92674758119426,299.85038506061983,RUS
22,270.0881606487407,249.56370348755019,RUS
23,117.2486692517741,120.47202584401393,HAM
24,240.21141205131912,239.54009928429727,RUS
25,267.14642651428574,,RUS
