Minisector,HAM,NOR,Fastest
0,305.1404513333333,333.67373303371414,NOR
1,289.7810588756849,307.23036063492066,NOR
2,181.50345331317496,168.81771784623433,HAM
3,205.21052862641505,196.1457148038095,HAM
4,228.63890562723893,225.8916449536083,HAM
5,268.7897953599224,265.910333056,HAM
6,238.0113113904762,229.83118943385438,HAM
7,213.04583195235213,210.27152441500277,HAM
8,169.0070472800993,164.92452440676178,HAM
9,178.9063566596491,178.17522494959007,HAM
10,184.2151117259941,179.99972616559364,HAM
11,209.7007844327246,208.024579549345,HAM
12,241.50171096155046,238.40591193844898,HAM
13,172.35000761442308,166.63964863534412,HAM
14,249.76155035202822,249.97631983498164,NOR
15,277.17972740491524,275.27760404444444,HAM
16,264.26916740266665,269.64576994956894,NOR
17,250.15043418773433,260.7751604923077,NOR
18,244.13120938703906,250.74599299412813,NOR
19,244.08898883809525,248.2337395153622,NOR
20,258.6742525835326,260.98337264547865,NOR
21,189.21512852932224,196.91711539156788,NOR
22,224.73287535167955,215.36679703055614,HAM
23,279.08251414603177,277.4505180973099,HAM
24,297.8940396572221,299.2489559827667,NOR
25,303.25416640000003,305.24722204444447,NOR
