Minisector,VET,GAS,Fastest
0,261.01911767843137,254.77754554074076,VET
1,132.28531639693148,128.83396971077792,VET
2,191.64877778932862,200.95000175238096,GAS
3,244.0456582633053,248.80800053335696,GAS
4,259.88645833333334,261.5173414806349,GAS
5,179.66720290470894,178.36772957441812,VET
6,144.789594356261,142.9623373608642,VET
7,179.13550759884058,186.57983217628416,GAS
8,103.07502919210222,104.67042133726463,GAS
9,79.25912927758979,78.45897922501088,VET
10,93.49795096568472,94.640934723183,GAS
11,177.08451546969638,183.16634218528137,GAS
12,243.2010274180858,248.45395792002319,GAS
13,268.3377777777778,270.9733340444444,GAS
14,280.07444444444445,269.2517024166291,VET
15,121.55565113356926,112.96694057659211,VET
16,134.82619058285715,144.6798746442021,GAS
17,194.43656749900646,191.7848386340999,VET
18,197.29444444444445,198.64750787756228,GAS
19,213.5428236383894,210.96250026666667,VET
20,133.2057337190746,132.65001031184184,VET
21,121.26589889840339,114.37449543567213,VET
22,91.39787026962964,91.62760420634106,GAS
23,193.8833847228147,195.70233242476257,GAS
24,247.171568627451,249.69019672380952,GAS
25,259.6375008,,VET
