Minisector,BOT,RUS,Fastest
0,291.7408331073016,304.13377677294363,RUS
1,300.9214582577778,315.13244053333335,RUS
2,308.04222236444446,321.6064897831339,RUS
3,303.85576974065935,316.6509613538461,RUS
4,201.3498621104204,198.523974591603,BOT
5,100.58290102511144,104.54542029151477,RUS
6,203.53074010655146,212.68218587439387,RUS
7,255.96169713115748,259.60413302507106,RUS
8,281.56502901904764,283.6855560838095,RUS
9,293.1158340266667,289.36587836988264,BOT
10,152.16643479450215,152.0235117890701,BOT
11,178.94710010434784,187.4538048092516,RUS
12,240.173012255087,244.6395835005291,RUS
13,238.69128561827677,238.89483250568108,RUS
14,155.20997085714288,158.77543599303232,RUS
15,208.62582421379278,222.48472274850087,RUS
16,258.6544259809524,263.9243948373728,RUS
17,280.35572886666665,283.5923210849812,RUS
18,292.52562065411087,294.44187944489795,RUS
19,299.844539790821,297.5990282740066,BOT
20,286.290120584127,279.71171746666664,BOT
21,152.6294130772231,156.18421394834428,RUS
22,206.76179398487082,215.2356666603777,RUS
23,256.44936920560224,261.1002458352941,RUS
24,279.68086751544206,284.84374953450504,RUS
25,,292.75833386666665,RUS
