Minisector,OCO,ALO,Fastest
0,267.1841107287267,266.1545639836735,OCO
1,286.81421973333335,284.8035985138903,OCO
2,292.6666676210526,291.98910776395593,OCO
3,124.13723919817181,129.0450418046257,ALO
4,191.3188164361059,188.61092843515297,OCO
5,251.3786024607108,251.90211168282383,ALO
6,137.70993014041363,145.23461778243018,ALO
7,201.1599463108949,200.67563350844225,OCO
8,256.28333280000004,252.37666517532995,OCO
9,274.9911194395665,275.2800818240422,ALO
10,235.7759120608195,240.5746213818182,ALO
11,178.69218984889847,186.83043287944528,ALO
12,188.13244700738528,188.4498931241953,ALO
13,151.77693725031367,156.85347948240383,ALO
14,179.64859114217572,177.18648375721673,OCO
15,161.47523158009744,167.6172284236992,ALO
16,213.75129964016207,214.3013118113751,ALO
17,230.5413787055885,240.17318808115942,ALO
18,232.69063018408656,234.30973883352618,ALO
19,239.35985037575756,248.69157650400976,ALO
20,142.44366577234928,142.07580400180439,OCO
21,132.66349102199425,142.15697575465092,ALO
22,167.34954927546434,166.3037418974828,OCO
23,148.6734490695178,153.58655682539683,ALO
24,223.74999795555553,221.43009273732466,OCO
25,253.14999893333334,251.4500032,OCO
