Minisector,STR,LEC,Fastest
0,304.95978258550724,308.0475050287035,LEC
1,273.3341657303837,282.97349956266663,LEC
2,161.52091152087115,168.7213076200884,LEC
3,199.76151032563544,196.01202349714288,STR
4,233.42732666645753,225.33711585560752,STR
5,269.83763873284175,270.07133354666666,LEC
6,216.63238781665675,226.7173385772043,LEC
7,204.66658734538615,206.32184365252527,LEC
8,147.73945995723977,153.89863771496294,LEC
9,194.27349982685774,189.63021773736872,STR
10,165.20889192710843,166.55077921194396,LEC
11,219.7031236817401,216.6728495827957,STR
12,223.5711742252023,230.26115452148446,LEC
13,171.19001243701888,171.81873562285713,LEC
14,256.7254986711024,255.0993059400922,STR
15,278.0424603174603,281.0210565142857,LEC
16,262.71169870769234,274.1395184464355,LEC
17,252.24147122779846,264.6214742564103,LEC
18,251.9411107395466,258.55194697269013,LEC
19,239.2101892231873,236.12480060624287,STR
20,266.27,202.49159753503758,STR
21,218.30775348741295,173.83379174212453,STR
22,238.13005888860005,256.5920293635042,LEC
23,275.8012182129896,290.0354168,LEC
24,296.01231884057967,302.05446441142857,LEC
25,300.85000106666666,,STR
