Minisector,VER,LAW,Fastest
0,97.85001659064083,238.14666678857142,LAW
1,124.90601232253968,218.00099843386246,LAW
2,197.47752366222224,205.99701399703704,LAW
3,238.4825524,228.16856926376812,VER
4,259.0355264,248.80898116740738,VER
5,259.21194389333334,267.763235459944,LAW
6,164.95980760615384,243.6367112528228,LAW
7,116.45254065987803,147.38185296061775,LAW
8,138.96811259863946,115.77449154449761,VER
9,199.65245577142858,160.71670691555556,VER
10,216.097510532119,173.97933542716657,VER
11,247.17458378666666,113.61159464925261,VER
12,274.98502383940297,110.94898160501424,VER
13,292.1611112296296,160.0440476952381,VER
14,298.88916672,168.3349998786207,VER
15,284.6603374676692,142.699108490176,VER
16,260.50985238588237,135.61980632032655,VER
17,206.59860873485954,177.5654202186804,VER
18,217.32258175911224,223.02431873662337,LAW
19,178.64654146077922,264.02511220362317,LAW
20,136.84868817777777,289.81347805170066,LAW
21,153.72195392688172,294.0,LAW
22,198.44491159893332,312.09666673777775,LAW
23,226.21052631578948,320.50971314228343,LAW
24,148.72161336666667,323.6737603702479,LAW
25,,323.1223955333333,LAW
