Minisector,LAW,HAD,Fastest
0,314.86271990891356,329.9223295608391,HAD
1,216.87211483078238,269.3928677236428,HAD
2,128.19964133169324,130.2882531832612,HAD
3,213.1982028158373,211.48608946405702,LAW
4,261.8467103515844,261.9884124451243,HAD
5,290.5954955962437,286.3573529411765,LAW
6,308.62918256747696,295.00104163333333,LAW
7,283.69659987606445,275.8988985003182,LAW
8,170.44726884897867,169.27684339907836,LAW
9,239.30574266006352,237.60275316772035,LAW
10,270.78489401227404,270.49087962962966,LAW
11,257.35020338147183,260.692796901731,HAD
12,199.4364780418612,203.58027207572874,HAD
13,122.65283770057142,127.75688173353399,HAD
14,123.71718345327332,117.82266244209428,LAW
15,152.66033561943487,164.35691407541387,HAD
16,129.50713817377058,117.26586143500397,LAW
17,220.7742368457059,225.01348817523808,HAD
18,167.78096418326385,206.10900991624632,HAD
19,165.3397245087679,144.74785671248372,LAW
20,245.99740634854066,240.68556584465608,LAW
21,274.1483579261104,270.74042027346263,LAW
22,295.74201092131165,288.7762937062937,LAW
23,315.01431447215685,300.847020346537,LAW
24,327.331518927033,307.8926786514286,LAW
25,331.95714194285716,308.3708330666667,LAW
