Minisector,SAI,GAS,Fastest
0,292.7017977331966,303.78541613534566,GAS
1,303.31094717018635,322.30316272064726,GAS
2,278.5200599982222,301.2373884857143,GAS
3,104.5800847575543,110.89066045188831,GAS
4,214.9510803697598,215.38236131809109,GAS
5,268.6117906160951,271.2329111842012,GAS
6,211.38907978748455,209.25152538927338,SAI
7,154.90140896235872,156.99489184956116,GAS
8,194.55349104544763,211.46644078816934,GAS
9,213.8298666452353,215.3959391753481,GAS
10,113.98055691754881,117.5786675742275,GAS
11,226.20185363337592,218.65110025765694,SAI
12,111.34136303612358,127.15624320877642,GAS
13,217.83034665467773,211.805054304587,SAI
14,272.9078847022827,263.583116612987,SAI
15,222.09605263248645,227.85162363906952,GAS
16,190.12560934571428,184.2642038847312,SAI
17,234.9819247153439,245.36262317186615,GAS
18,192.6888721575673,206.8806491478261,GAS
19,183.80253561151858,175.76904143488,SAI
20,262.6583915801278,257.37880923809524,SAI
21,290.2164440482801,284.76470893617534,SAI
22,165.418644815365,176.88578951849206,GAS
23,204.41087086897122,194.76579075482618,SAI
24,271.6428623632874,267.81730434828285,SAI
25,285.78363346761796,282.8388892444445,SAI
