Minisector,PER,ALB,Fastest
0,244.31323568953712,245.06040196958924,ALB
1,277.366944167718,281.22878684807256,ALB
2,180.2238389281439,180.0278505219086,PER
3,148.79709163705834,145.07489474570548,PER
4,254.62159997384754,253.76784580011292,PER
5,265.7395781735727,265.38214569123085,PER
6,225.6239092530939,212.81856006267282,PER
7,204.54279634708416,193.84522532437876,PER
8,154.5577589297571,152.1331212493203,PER
9,209.43537463077317,213.5415729512925,ALB
10,268.5023348738949,271.34508623282085,ALB
11,123.0432868482469,115.63319570961946,PER
12,204.70179534365812,206.06667037898194,ALB
13,268.4458598484849,269.3819694205585,ALB
14,290.1931450721084,293.3703927593198,ALB
15,298.59014223871367,301.68021164021167,ALB
16,245.03634998881844,232.1329615522671,PER
17,134.20245128786527,130.55293119856006,PER
18,133.10281354054067,127.82114297092063,PER
19,119.25538929349055,119.78109664739425,ALB
20,221.3229202835055,220.460979020979,PER
21,253.68984444444447,248.81487787412354,PER
22,240.94865495234174,224.69945695045695,PER
23,214.61171319102354,206.43304976610068,PER
24,140.22533566400244,134.7969720475687,PER
