Minisector,GAS,SAI,Fastest
0,316.2754774,321.6554026816506,SAI
1,319.0162526144927,328.53409090909093,SAI
2,312.6970645212121,324.5268542251026,SAI
3,202.94859422253737,201.65164263859648,GAS
4,125.56308713469704,121.1242262250493,GAS
5,264.90385750123454,264.8270592490508,GAS
6,295.48208563352796,301.37226586190474,SAI
7,301.82638888888886,309.6542184679089,SAI
8,272.35181667179717,274.68146246424556,SAI
9,151.62257900642666,146.87947643128842,GAS
10,225.60143267619048,222.03742764329004,GAS
11,222.79787962534925,219.15460191869633,GAS
12,203.11955362285713,203.59864752432432,SAI
13,268.1103830857143,271.60847198114305,SAI
14,299.03886386031746,304.9479972167328,SAI
15,307.64692030144926,313.2031197537958,SAI
16,263.34347481904763,262.0933020952381,GAS
17,214.26050455919193,210.52363105025137,GAS
18,272.7187952996337,275.1254124600733,SAI
19,301.7524998217143,307.1414529135672,SAI
20,307.36990406321655,315.39066561385283,SAI
21,297.4711809269841,298.2429043935926,SAI
22,219.46190107689992,212.5693904715729,GAS
23,265.5975304296296,268.27528896205234,SAI
24,299.43076287199267,305.0157159072464,SAI
