Minisector,NOR,RIC,Fastest
0,295.2719551589743,301.6426268801308,RIC
1,235.635938,244.2380528,RIC
2,203.6941965608485,195.37325504660197,NOR
3,267.5672840691358,267.3120159266314,NOR
4,224.24637388997297,222.9192331863351,NOR
5,111.15957795674814,108.15227565542051,NOR
6,175.05242114370316,168.19257870613492,NOR
7,255.8567939152709,254.51629823054188,NOR
8,284.68501884844125,284.9214976863304,RIC
9,296.33974214060066,297.42353685079365,RIC
10,290.2210237805714,299.82814438489856,RIC
11,221.47600103236806,225.30455756840917,RIC
12,147.51959922906389,141.94823639311522,NOR
13,257.17844394557824,254.92040386206895,NOR
14,289.13805941807993,287.7714480932571,NOR
15,295.08437506666667,293.80468733333333,NOR
16,279.77163466666667,281.13974326153846,RIC
17,246.72416679111112,243.53583094857143,NOR
18,175.19509054127255,169.2362374992045,NOR
19,182.96009510692025,181.9527734787225,NOR
20,173.04992622105235,169.40965681951218,NOR
21,245.01822642118378,240.9476455040157,NOR
22,122.41118231808487,119.07208089730203,NOR
23,192.87863784126984,196.6107034202404,RIC
24,281.0955677707854,281.13384122469137,RIC
