Minisector,VER,BEA,Fastest
0,304.8286494532416,306.45488937168045,BEA
1,327.41584548741025,324.21136066400453,VER
2,282.18698577632654,298.2931439438961,BEA
3,103.16344048345432,106.17561397998905,BEA
4,222.52259457323504,226.81058913481482,BEA
5,287.56810545454545,284.42500707312627,VER
6,197.16336923681786,193.72685302883414,VER
7,149.11206620968937,161.11985423208216,BEA
8,209.498741369297,197.6410176988701,VER
9,214.2935779655946,209.44398479602486,VER
10,118.37008116500922,105.49836517932695,VER
11,226.75530378122448,223.36622302784423,VER
12,118.23818647191058,114.81693740600028,VER
13,221.05666969414688,224.61890350890795,BEA
14,274.4993644565079,286.3181763466816,BEA
15,214.7081883787384,203.87751760021703,VER
16,183.2860090912653,182.413110864963,VER
17,244.87686840080806,246.4763989565209,BEA
18,196.19615905324676,187.94213988054835,VER
19,177.56654306348682,177.517452822972,VER
20,264.08379097987336,264.47005143333337,BEA
21,290.25519450666667,290.0854658964163,VER
22,163.87954679034584,168.70919418821092,BEA
23,210.88318437856358,210.27129736105863,VER
24,271.1427256670928,275.8833103300053,BEA
25,286.54500096,294.6348546748162,BEA
