Minisector,PIA,HAM,Fastest
0,290.51780250482756,304.4949756468966,HAM
1,143.98883626539126,149.15543918851907,HAM
2,232.78372664182197,211.2897926916402,PIA
3,293.00932532486775,288.34985238588234,PIA
4,315.46585942,314.44044722779444,PIA
5,313.6420006878455,316.59330354285714,HAM
6,148.39278150803273,187.8640968588034,HAM
7,137.08131584,117.2028428784756,PIA
8,261.5982791043028,250.15097732302522,PIA
9,298.52587854023307,294.79791682857143,PIA
10,294.04525061293236,298.28978260532017,HAM
11,130.5213345323094,150.99853836095627,HAM
12,191.63458036705515,167.11396176246907,PIA
13,247.90416648366013,243.34154104786816,PIA
14,183.47955498198718,196.8011212096728,HAM
15,196.312386932198,186.9125099446857,PIA
16,191.8799753075109,197.01694577385445,HAM
17,236.7274502338209,226.72460161309053,PIA
18,281.0121915259259,275.3426884850794,PIA
19,294.97472659210626,294.10876110022355,PIA
20,246.61165589808613,253.0492635607843,HAM
21,202.0278432958242,201.66117113291003,PIA
22,191.2991444805482,172.19696523744983,PIA
23,267.9781651580419,257.2547757227128,PIA
24,303.01685743521557,300.33393704648745,PIA
25,,309.0,HAM
