Minisector,NOR,HAM,Fastest
0,307.36393245306147,294.17166097828573,NOR
1,322.6656847919098,305.68451135839604,NOR
2,303.1099381669759,280.86212358978355,NOR
3,103.50376814201331,106.4866737708828,HAM
4,226.58921877454918,218.14593040680273,NOR
5,282.4353983180375,275.0020731652762,NOR
6,221.53602155530407,209.8344094664127,NOR
7,154.42313993943014,152.9648816022641,NOR
8,209.2446521727556,208.51298408063656,NOR
9,210.05922418864816,216.2846658234074,HAM
10,115.58243003747066,114.16470130643204,NOR
11,228.48203090926108,230.066405145984,HAM
12,115.55559042266943,124.98718921203337,HAM
13,221.21738493034925,226.11964656897868,HAM
14,275.7271738434783,279.8386175597976,HAM
15,216.90515965504048,210.11224571094172,NOR
16,180.8547500905428,188.08593351731102,HAM
17,244.1113292431527,250.4576613260606,HAM
18,200.79095526511435,195.77658867543838,NOR
19,180.33575018030646,177.1644052817244,NOR
20,263.44552722165577,264.88924974241024,HAM
21,288.8275538011297,288.92524230966507,HAM
22,176.91582923715876,172.33672619458756,NOR
23,210.8096588707648,215.30399677761318,HAM
24,271.7246014737572,274.1266304806283,HAM
25,,288.45416746666666,HAM
