Minisector,OCO,VET,Fastest
0,248.59362970369318,250.74842151947433,VET
1,126.35578104835932,125.97840477913559,OCO
2,260.135996084255,256.8623410670442,OCO
3,302.7188073695073,300.77156572617145,OCO
4,304.06255680783215,302.9897518380513,OCO
5,312.555811797551,311.03518979582867,OCO
6,315.9376663812987,314.9662674377778,OCO
7,310.93098566505495,315.60220780524554,VET
8,195.03735328084656,182.8812825429223,OCO
9,183.072234270327,184.74361156875526,VET
10,179.80831707666613,174.21038619586759,OCO
11,168.36087324996683,167.81473939242207,OCO
12,243.2747575011173,249.9662329251423,VET
13,269.5414005107907,266.3480507810131,OCO
14,273.1466491661662,276.10504202104994,VET
15,265.9093179881275,262.58072063782316,OCO
16,169.12553044130254,164.27561443727498,OCO
17,175.19719830402778,169.42867392037547,OCO
18,229.53914824741855,232.5178990156487,VET
19,277.9790274452279,276.4559985330403,OCO
20,300.9384385382953,298.061903534417,OCO
21,309.09540116707734,307.147170541678,OCO
22,305.30707226610616,306.16165361535724,VET
23,250.82432750352834,235.22624040620408,OCO
24,112.78443742625798,109.90922150211688,OCO
25,216.2,,OCO
