Minisector,LEC,STR,Fastest
0,273.7352496604444,267.4715552973299,LEC
1,233.77126637360936,268.7517727513228,STR
2,112.79918262492488,113.17859294159189,STR
3,182.17393750602966,167.64364371137933,LEC
4,182.94314911891985,178.80247719917747,LEC
5,220.41258585236412,208.59554052443275,LEC
6,271.23316393351126,269.3606787783078,LEC
7,289.1383551588304,286.23870325561495,LEC
8,185.70367896288198,164.4991197696871,LEC
9,131.19100507552082,114.3653728197538,LEC
10,138.6696033122238,135.97512871671273,LEC
11,192.71068476952084,203.72177446008828,STR
12,218.29683374933336,176.15031549621162,LEC
13,132.6414378330421,131.03848114633905,LEC
14,145.79413269339352,115.87006737619255,LEC
15,133.6405631419166,170.99028124007128,STR
16,248.9797670442701,257.4448480376427,STR
17,145.16907852372813,128.24478288670448,LEC
18,194.1746796137931,203.90443458892653,STR
19,124.05271354906226,112.53878194881595,LEC
20,132.685920029889,118.45775644843381,LEC
21,121.8072110977344,120.85387700675258,LEC
22,140.33060491910072,172.56169130423038,STR
23,215.7142592474074,205.7012364918895,LEC
24,236.85373458295695,235.63510238040817,LEC
25,259.58729891516356,,LEC
