Minisector,VER,GAS,Fastest
0,304.4366204325926,308.6804200599066,GAS
1,230.39292127189248,210.6108808121212,VER
2,130.12102893409525,132.80813128259499,GAS
3,208.8888770874123,215.19792787990932,GAS
4,262.05118551859647,261.3411242659132,VER
5,286.5388513276552,290.23647920522876,GAS
6,299.66558875763735,304.44149682176874,GAS
7,280.5951806577778,266.7944306973734,VER
8,171.76714071630522,165.87384037988735,VER
9,238.82368589784394,235.34725232479963,VER
10,271.09287949602697,271.1268572657321,GAS
11,268.4260522964974,254.95943232120302,VER
12,221.03211649477635,197.14605923357593,VER
13,124.88433515597771,120.16090902993895,VER
14,126.57480787436354,119.27150477440077,VER
15,166.9280557203246,162.32792105414495,VER
16,124.14104517493735,125.54660608918552,GAS
17,229.03514652767674,222.79994196970685,VER
18,183.42696148986695,166.98981447941034,VER
19,162.68438064744586,154.08141143386038,VER
20,245.87357417760504,245.9043749751684,GAS
21,273.302208380382,279.94230796867726,GAS
22,289.0044190574956,302.3368395361905,GAS
23,296.77246746771243,315.367885270303,GAS
24,300.9350084454902,320.93985689918696,GAS
