Minisector,PIA,BOR,Fastest
0,294.8250775026455,290.5167583487564,PIA
1,300.53209557909224,292.04246287085715,PIA
2,161.56704089489176,155.02020257331796,PIA
3,223.30760598152125,217.33484129272355,PIA
4,279.1006942532628,268.95144253172907,PIA
5,309.90722572284466,290.4285863010035,PIA
6,318.2020384866558,295.2809036753114,PIA
7,163.84423013398268,150.48524825862012,PIA
8,134.52900933754086,140.17077992205802,BOR
9,254.70982395705627,249.76405146763977,PIA
10,298.37084754294443,282.8601358106185,PIA
11,307.4201771228466,287.4354018119474,PIA
12,142.92263831283287,141.33925902837902,PIA
13,190.7451268718198,192.53167438743353,BOR
14,256.60525914164805,254.91015000466268,PIA
15,201.21151215901244,202.66481487214307,BOR
16,218.096707776,223.8926436940877,BOR
17,219.2154326010158,214.65115937494645,PIA
18,248.26233265198096,245.2847077406584,PIA
19,279.65342496925285,276.968493765614,PIA
20,295.2196364362696,288.8055531461438,PIA
21,260.40965069485713,255.80019992061614,PIA
22,222.38201312137,219.41164014878305,PIA
23,205.0471583040747,200.16462659259628,PIA
24,270.5443159563772,264.41380498082543,PIA
