Minisector,HUL,COL,Fastest
0,248.61454209890456,241.73241297026524,HUL
1,286.31535082472726,279.6548809194374,HUL
2,175.40294367541583,191.20297520619312,COL
3,165.23575242972387,165.58169704130108,COL
4,261.16580855787583,255.127686594405,HUL
5,276.2603669796592,267.3698450491308,HUL
6,234.7184172719399,238.8256473704762,COL
7,208.237076963291,212.5939502164502,COL
8,156.00350398936666,162.49840489505885,COL
9,218.07004604897958,222.439525675647,COL
10,273.2207512395784,271.34774601660257,HUL
11,129.05035867006393,129.1868601110473,COL
12,215.0689304148717,223.0450205761317,COL
13,275.5505757968254,275.9729549219076,COL
14,298.4953517500016,296.22752525252525,HUL
15,306.06255519080764,305.879354657688,HUL
16,228.48908869735592,220.98303716630662,HUL
17,129.55597648801427,131.1076621703513,COL
18,129.32232058668373,135.7066159058294,COL
19,123.28876769632926,124.85308046679371,COL
20,231.03589635574056,234.4936046176046,COL
21,263.1477961175983,263.9149169994172,COL
22,245.22128018116007,230.90203413444792,HUL
23,220.16798089201467,208.85108509547922,HUL
24,140.43013723560438,139.18772791890206,HUL
25,212.18334506666667,,HUL
