Minisector,PER,LEC,Fastest
0,257.43447970088187,256.02913294216023,PER
1,223.03592912696973,235.01472517732768,LEC
2,141.54317311082505,145.3073376231884,LEC
3,237.55043451169894,237.24539947805502,PER
4,267.0708331093333,268.70950024533334,LEC
5,171.26624343893118,183.59259511056024,LEC
6,99.0424882621806,101.25820431435366,LEC
7,137.99364209628993,133.89440570444427,PER
8,249.81333794318198,246.49358519082892,PER
9,167.54627362879947,172.5611331082045,LEC
10,182.69208901661008,184.79756818622118,LEC
11,257.8520740466781,254.62490142023395,PER
12,243.5372599784142,237.60344694819034,PER
13,260.19877831296776,258.2164088863064,PER
14,283.58835026756816,280.5070655536232,PER
15,269.0560215139591,279.3800998406391,LEC
16,135.15131040421338,136.8947975259182,LEC
17,230.82984205999566,229.68853669646577,PER
18,277.976449715942,276.1411741415546,PER
19,288.963586968116,285.18134056811596,PER
20,291.69813314632034,286.546221720911,PER
21,296.54438409275366,291.89402179710146,PER
22,141.23106721382618,141.92322183831067,LEC
23,80.56143746330567,79.3728526300439,PER
24,155.16632168284204,158.09212573486363,LEC
25,236.60416533333333,,PER
