Minisector,HAM,ALO,Fastest
0,315.50515737560215,319.47064567617963,ALO
1,312.480654552381,322.8364601234286,ALO
2,159.68606493180633,181.5941408181406,ALO
3,162.60511095014778,147.78999402764978,HAM
4,197.5767053848456,202.8705990849623,ALO
5,149.26025359027292,145.54421469569644,HAM
6,206.40820559979386,194.57108358687628,HAM
7,275.69003931396605,263.24818906890755,HAM
8,290.05055549155554,284.47272315733335,HAM
9,282.17710584805155,276.7815656187947,HAM
10,245.56514713263158,231.35251321263158,HAM
11,243.0980661425655,233.82344937172542,HAM
12,223.86380942682513,213.13000426798195,HAM
13,173.1380465025948,193.22066104137141,ALO
14,141.4337334174615,136.73752002499512,HAM
15,130.62199874554787,132.6723503217604,ALO
16,199.22991271198654,172.7274667184762,HAM
17,265.7191885893558,252.3194540737437,HAM
18,196.5410515845792,265.7578946694737,ALO
19,114.88065453870193,118.30522951201696,ALO
20,207.80786391622559,171.93500833133092,HAM
21,186.04231637611122,185.43980919973822,HAM
22,246.15830289590644,206.73311564912282,HAM
23,277.3799006711834,263.025723208289,HAM
24,303.0748725587954,292.6131626668527,HAM
25,314.1250005333333,305.70729205333333,HAM
