Minisector,BOT,GIO,Fastest
0,204.0459168102741,215.80128757925652,GIO
1,266.27914142606835,181.80289238294284,BOT
2,291.4684409216386,241.91096095262535,BOT
3,291.0616788491228,293.1519198630619,GIO
4,162.4381593529809,317.98749923137257,GIO
5,227.24786439469813,205.48914679583825,BOT
6,274.4949549473684,164.63125933246636,BOT
7,293.6158513562212,260.21754743706526,BOT
8,294.5251653170777,298.12242979530856,GIO
9,171.38110653497662,319.11677749523807,GIO
10,131.0189013777353,298.68995709185765,GIO
11,252.28263563467038,101.48899470490181,BOT
12,283.8742844569248,210.96321955750915,BOT
13,293.1084324063492,282.2099969144752,BOT
14,147.7170397063275,309.2505242836493,GIO
15,192.19297847357666,244.3781024089074,GIO
16,257.88363051428576,127.95047898164925,BOT
17,210.97594802076773,235.33468769615035,GIO
18,217.57773711694495,230.39460665989085,GIO
19,222.45513995171717,173.8976695943714,BOT
20,243.0469290286177,217.3985838152319,BOT
21,274.44309472,194.5013878617284,BOT
22,290.1148854062461,255.70564564954722,BOT
23,270.87273965465346,286.19284081380624,GIO
24,226.38217329801256,299.55509238518516,GIO
25,190.20920442933436,,BOT
