Minisector,VET,HUL,Fastest
0,269.34226224761903,268.8063183214652,VET
1,133.1527647233081,138.10467813226762,HUL
2,189.55119020288296,188.0268425425068,VET
3,244.9686952241037,242.2614418032893,VET
4,264.8905023701038,261.0875853823129,VET
5,180.46834909358407,176.3302259033549,VET
6,142.50968577079524,145.49926594113052,HUL
7,181.0497347403224,174.18877431292518,VET
8,100.61759170747017,102.02785079304005,HUL
9,74.28042562703955,76.5695918159748,HUL
10,92.80726406280677,91.00902963233125,VET
11,171.10204115392185,171.70819999608847,HUL
12,243.06054292619612,243.2304919072314,HUL
13,271.45641066666667,267.4720498205456,VET
14,282.8998751414233,281.2217962666667,VET
15,114.93294719014311,125.61533250109366,HUL
16,139.0366812577581,124.87191187895102,VET
17,191.8842917240482,200.75239649598532,HUL
18,195.73556114055677,189.374135968465,VET
19,224.70202489923065,227.33035178066123,HUL
20,130.44184207842662,135.57673014879555,HUL
21,120.01939728700124,126.14227770351096,HUL
22,88.49709114389705,84.83779135134756,VET
23,189.4277809777778,182.06704585369988,VET
24,250.75690405682263,245.52071957294697,VET
25,,261.5,HUL
