Minisector,LEC,ALO,Fastest
0,263.4322802365915,267.7143271403922,ALO
1,278.842438330005,289.20419363387504,ALO
2,284.0041207851313,296.51338382222224,ALO
3,135.02600406235544,131.20404596353472,LEC
4,187.70623632539363,181.1019504158368,LEC
5,251.92085026184128,259.1630851320301,ALO
6,139.43841607846284,140.87964273927153,ALO
7,217.64575484952383,188.95711551867953,LEC
8,255.31718365579832,246.72944918730158,LEC
9,275.6696048617544,270.38926264603424,LEC
10,228.95377779402057,236.69611874245612,ALO
11,176.61188423506172,188.1098611176774,ALO
12,190.08567519006735,176.11603255349627,LEC
13,136.89634170683158,143.93679730778805,ALO
14,173.65543643260384,158.48766051143267,LEC
15,156.9004830996682,150.31286031442434,LEC
16,212.0465218634383,191.9562240982659,LEC
17,227.4888662349206,231.32473321973615,ALO
18,237.0043501159301,223.15259431030304,LEC
19,240.24048957540518,244.35451885916004,ALO
20,143.49662866010152,139.3309917030566,LEC
21,138.87122782561826,140.34782245266888,ALO
22,163.68599605255275,153.4492599058358,LEC
23,147.86212461067424,140.72272719181657,LEC
24,224.46521673015874,214.74778276072723,LEC
25,,247.26,ALO
