Minisector,RUS,GAS,Fastest
0,284.8147340088889,278.06292610612246,RUS
1,293.2113636987013,299.0,GAS
2,237.0925314535619,234.4683008671605,RUS
3,119.90170545376635,120.19675977895638,GAS
4,134.68354066649886,134.2714296026921,RUS
5,255.28439038176347,245.3998513756391,RUS
6,245.45435740666667,233.0583415866407,RUS
7,128.7471851587733,132.46103238925227,GAS
8,253.06569482112553,250.01109182482185,RUS
9,255.72391150064024,250.37948608505928,RUS
10,213.04011450484333,205.76748321812806,RUS
11,143.80775041632725,138.8782836703385,RUS
12,204.5259662115654,209.53743108940742,GAS
13,254.0423452584814,245.11102660670807,RUS
14,113.87637156383204,111.41196213866449,RUS
15,192.82342850620898,201.27143550871574,GAS
16,270.9309690867633,273.4420551280733,GAS
17,312.97185719887955,310.57255896816326,RUS
18,323.7016527787862,322.8669786352941,RUS
19,327.2149719502521,325.18643752266667,RUS
20,325.15689887695237,321.0158088,RUS
21,190.66381841438192,175.67377348005093,RUS
22,143.34121934017116,142.23044743185218,RUS
23,191.20521988626848,184.00722920341204,RUS
24,231.52879095515516,231.79955948210795,GAS
25,258.0,,RUS
