Minisector,RUS,MAG,Fastest
0,287.6989599613518,285.8623621657416,RUS
1,299.2642946285443,296.34627388903664,RUS
2,303.384603290236,301.17418147817733,RUS
3,303.9527479525926,298.9176599012063,RUS
4,189.05411425734786,192.27141248231163,MAG
5,215.66896057791035,209.30381682590476,RUS
6,264.8325249942857,261.21365114248505,RUS
7,256.21837500337386,262.90885514285713,MAG
8,180.66879398170488,183.62919032622148,MAG
9,150.44807664354337,149.61357700609227,RUS
10,180.75570968561593,178.3606793930979,RUS
11,255.42707244071738,255.44225576989274,MAG
12,248.55605722691317,244.8597247987011,RUS
13,225.6845149348148,217.52737568914287,RUS
14,266.04995335434523,263.46850041168506,RUS
15,164.56142657596962,168.22713458467533,MAG
16,210.66558804020806,213.94377834992125,MAG
17,233.8825087930736,237.58389130600415,MAG
18,127.95860458528138,130.5147294300534,MAG
19,237.92618665928853,242.28355512948733,MAG
20,274.6626460744589,274.40324040997734,RUS
21,244.9227375648819,252.58171125807877,MAG
22,137.3187676892073,136.09390346028283,RUS
23,206.47733156017281,199.5164610038836,RUS
24,267.439128277655,262.08119371074963,RUS
25,,278.47499946666665,MAG
