Minisector,BOT,PER,Fastest
0,274.77508282457035,283.473072559213,PER
1,293.4104400935685,308.72537465649964,PER
2,287.6460960388357,285.10265144242425,BOT
3,173.66750620468065,161.2161991667661,BOT
4,117.25738271131974,116.55730332696719,BOT
5,233.55827249165205,240.13875932058804,PER
6,282.5497837503962,294.9390309079365,PER
7,296.60636226405006,298.92979267780726,PER
8,163.97354476052706,155.08558480414655,BOT
9,141.5607239736611,133.66180335250962,BOT
10,250.39567076770945,253.470574046027,PER
11,286.1547880064632,293.977391363831,PER
12,295.9152726194697,296.1000804486645,PER
13,280.0847642370419,263.60204746000164,BOT
14,297.9765216962386,296.27325301639166,BOT
15,298.11151098001943,296.58384937329873,BOT
16,248.421170603554,229.49092411803002,BOT
17,224.49328671531475,212.4281847594426,BOT
18,277.61662257680183,286.8999356105102,PER
19,300.6878302409539,318.25098568699593,PER
20,301.4415309970538,317.6485586393775,PER
21,231.98541130318648,197.4507668716019,BOT
22,255.69288367097437,243.4971559486185,BOT
23,137.8662911054002,129.16084414442588,BOT
24,212.81072185051266,214.2428308676823,PER
25,257.2333312,,BOT
