Minisector,SAI,HUL,Fastest
0,290.40326953693005,298.9879998933333,HUL
1,294.3375730196079,306.1179087557168,HUL
2,158.94853865980363,155.20041821165384,SAI
3,217.9918431799846,220.15622108645675,HUL
4,270.3504772931696,271.63987372997195,HUL
5,292.1171865109815,292.46357755981575,HUL
6,298.8721510269733,294.89259691838953,SAI
7,156.03860987870968,173.97231337583068,HUL
8,123.07914447050506,121.91742381714286,SAI
9,247.99310429926436,250.0929606781355,HUL
10,288.7547484894942,285.22729575502245,SAI
11,301.1523101780494,294.17088886044445,SAI
12,148.06569709234842,139.79375838671297,SAI
13,192.8909352066116,189.42413661904763,SAI
14,255.67492261137696,253.708835978836,SAI
15,196.49703683483256,190.66267355300127,SAI
16,211.31002521104864,205.71966075154324,SAI
17,201.890126810386,196.2275372857143,SAI
18,237.6091646001803,233.8479390939337,SAI
19,276.05539126417113,272.79136507936505,SAI
20,294.21297633523807,290.9760914202838,SAI
21,260.46071220638413,253.75925249284552,SAI
22,220.30094734689519,216.80099556848364,SAI
23,203.60217593803358,201.25884170392345,SAI
24,262.43048678319326,262.6054989489071,HUL
25,280.8874976,279.87000064,SAI
