Minisector,VER,NOR,Fastest
0,281.1177185041812,278.7362205087818,VER
1,297.41290111212146,298.93574881026984,NOR
2,294.98674447140644,294.9213756621877,VER
3,187.3554041529522,173.2687331150892,VER
4,134.86829383010584,124.32106976430528,VER
5,244.11726945698166,240.86159398738602,VER
6,283.4182980778038,282.74262773333334,VER
7,290.82692246153846,288.7946142695925,VER
8,191.5418000702392,185.2350797498609,VER
9,154.1649308410548,144.2797994327923,VER
10,256.5545398285714,255.11630907430043,VER
11,291.47756246868454,290.31088744761905,VER
12,304.4598767987761,298.73395253638097,VER
13,292.08657217285327,282.03718117110077,VER
14,301.32037557069526,295.3789690837237,VER
15,302.83442230647154,298.21620645653053,VER
16,265.9080564100822,249.99366084813784,VER
17,239.6825426404548,231.4443707766586,VER
18,279.8254442891479,279.49370581898097,VER
19,297.12016045460814,298.827034980693,NOR
20,299.32024641105585,297.5791132728735,VER
21,247.32463603339687,228.99074687117428,VER
22,267.91899123938856,260.99341772261994,VER
23,145.66338297420236,137.08114057740642,VER
24,227.01029311167767,221.5199017135228,VER
