Minisector,RIC,GIO,Fastest
0,303.2053769208089,298.9727167285245,RIC
1,230.4373777882353,238.57732069767937,GIO
2,131.38634314799745,133.01519886937263,GIO
3,235.56065725001514,241.13642419445046,GIO
4,189.56541629333333,184.53184903861782,RIC
5,237.98116285860056,242.22343773333333,GIO
6,221.95674388377088,228.47534829200734,GIO
7,254.11570751440178,251.86799277910904,RIC
8,283.8197188544788,286.06862880902344,GIO
9,203.93980289122806,214.21909386666667,GIO
10,199.96023838064372,198.17379711289675,RIC
11,270.59464274285716,268.86268554088673,RIC
12,206.44396840370763,212.58625974774776,GIO
13,249.62986298952154,241.90043132559137,RIC
14,293.05215183579327,283.37074900136054,RIC
15,306.37849996799997,297.7247121739611,RIC
16,303.5002627413109,302.9008012307692,RIC
17,227.19351733456583,231.480650285695,GIO
18,270.6109218525731,259.23847331555555,RIC
19,299.66639185934065,288.3135296223982,RIC
20,303.24483327999997,301.336000384,RIC
21,297.0760802765432,304.5069110825052,GIO
22,150.17056122102207,160.26509747871722,GIO
23,235.94540267153428,224.0696705635317,RIC
24,290.23355367997465,282.3619716345679,RIC
25,,295.85572142471716,GIO
