Minisector,SAI,HAM,Fastest
0,269.61555428131373,271.6269712369231,HAM
1,288.1770998789035,291.5521843610967,HAM
2,288.2587656606211,292.89500511496925,HAM
3,181.66030546342353,184.389871425368,HAM
4,124.09028513102453,118.78003702962708,SAI
5,234.3883842871795,235.47958725114395,HAM
6,274.7672968870037,275.21058577463344,HAM
7,281.8261957538717,288.0080523826087,HAM
8,188.00079706950098,180.17418549986394,SAI
9,145.37985411047705,144.55811216854187,SAI
10,245.37847145818182,245.48131874065209,HAM
11,281.307872414409,283.57881892392555,HAM
12,296.34228170307455,297.82771040507936,HAM
13,284.0869574432323,276.4985190156191,SAI
14,295.7854707934199,293.48457020982147,SAI
15,293.3959648748538,300.5871818181818,HAM
16,248.10756243482004,253.68636109859364,HAM
17,218.03220441520733,228.4224095890167,HAM
18,270.20287867580504,275.3131728261553,HAM
19,293.0289255204294,295.75555593529276,HAM
20,295.77618097683745,301.470405725511,HAM
21,234.39764276825434,235.35262816939078,HAM
22,254.32990775454093,261.1074983446971,HAM
23,139.09525352795737,139.1528707188043,HAM
24,215.90815656462877,215.09178986920634,SAI
25,253.218748,,SAI
