Minisector,RUS,HAM,Fastest
0,269.49816686842905,270.2151945904762,HAM
1,244.1731492739469,246.90816801845375,HAM
2,117.03559219883968,113.25471106895122,RUS
3,171.22656779064582,169.99245210326717,RUS
4,193.65928958754736,188.0458248881738,RUS
5,197.38810891567107,196.19172493731799,RUS
6,262.43303549002076,263.53543795671,HAM
7,285.20902803137255,286.546520068129,HAM
8,228.59965683039593,234.93308013876828,HAM
9,145.59692896279356,139.32905007864397,RUS
10,117.14214329231511,115.85046517874424,RUS
11,151.54281270422595,143.38373416192482,RUS
12,243.41220747881297,244.6980176777143,HAM
13,145.08316159374155,147.4367005401109,HAM
14,147.99425984154027,148.4939787883189,HAM
15,105.6482126831669,107.13246174441319,HAM
16,224.55167962993247,214.09376381744056,RUS
17,230.35223175455556,237.50250540800874,HAM
18,115.60222650834064,128.44973097894822,HAM
19,240.12337067528054,239.41717771398118,RUS
20,272.570108630303,274.6685491224242,HAM
21,204.89561450132132,198.80952827486,RUS
22,150.64494665606125,149.2753188657682,RUS
23,215.16302751291735,217.12807515924212,HAM
24,227.84309497087276,229.8752146075188,HAM
25,,255.703124,HAM
