Minisector,RIC,SAI,Fastest
0,249.41195591594584,244.17442560688255,RIC
1,285.57604533494793,281.96862771489435,RIC
2,184.89130042351354,187.9715302469844,SAI
3,151.0772029810406,148.14296997477507,RIC
4,258.99216983951146,256.26959454195395,RIC
5,265.18197207574985,269.69466666666665,SAI
6,222.39541463175826,212.47169982995604,RIC
7,193.0027705330648,192.91372549019607,RIC
8,147.68432977225672,151.9402651561995,SAI
9,209.24063480424144,203.58822473667388,RIC
10,267.4795264802947,270.98419047619046,SAI
11,122.32796762255921,124.36120273913222,SAI
12,208.12274279589758,198.59331818385505,RIC
13,271.57578000045237,273.6536190476191,SAI
14,290.23758418416486,302.75963203463203,SAI
15,298.223883321297,317.9234904726085,SAI
16,256.2027760197531,269.00466666666665,SAI
17,131.80978847031682,128.1810728066813,RIC
18,124.6517534079332,122.47726134974732,RIC
19,114.48625143506273,115.04569202259887,SAI
20,225.08066575362142,222.0274463311828,RIC
21,247.40971540680272,248.55555555555554,SAI
22,233.5585773435416,241.3478046738748,SAI
23,220.11210298412698,216.94354838709677,RIC
24,134.66205008842908,133.7234295436435,RIC
25,216.0750016,215.0,RIC
