Minisector,ALB,ALO,Fastest
0,307.81669226832895,301.8591077687646,ALB
1,228.61515390327057,219.57569845040737,ALB
2,138.85782641503107,142.63908545370438,ALO
3,223.88308573930456,223.14867952051353,ALB
4,164.21981303285813,166.72730572682028,ALO
5,178.5194071274972,180.51128046774414,ALO
6,255.531044287121,253.37691611733334,ALB
7,282.71114074016987,276.9852796546482,ALB
8,289.4573936690196,285.3065295706278,ALB
9,261.23836314939683,260.67278842412696,ALB
10,246.5680699665797,241.3313495202497,ALB
11,243.19041083597884,239.88527460077228,ALB
12,204.64030765286006,214.881010778355,ALO
13,125.80895202598678,131.27767501205562,ALO
14,138.74783485704782,144.18444804196432,ALO
15,170.34091728929673,176.6995464312018,ALO
16,254.63527515511996,248.34560841467263,ALB
17,251.7415125602241,244.53791206816464,ALB
18,112.25112617244247,112.35265786081386,ALO
19,198.38862836016997,192.591409215873,ALB
20,196.20839927990556,205.5874715760349,ALO
21,239.3160200376099,232.883099448647,ALB
22,276.71259473550464,262.9636941605926,ALB
23,298.4691144,281.88315815064936,ALB
24,315.2038459569231,294.31551512190475,ALB
25,321.1458325333333,299.0388885333333,ALB
