Minisector,LEC,STR,Fastest
0,285.32531623334165,306.99765383822313,STR
1,294.7095906690282,323.4341270857143,STR
2,287.7612357729637,290.8057979494824,STR
3,110.59343692530894,110.05721310657005,LEC
4,220.36902869333332,223.1573588141892,STR
5,271.38480197186914,272.6856664746667,STR
6,218.91703398172112,211.132242742357,LEC
7,159.8791153521292,162.30546066616262,STR
8,209.69582801838453,206.43230520697006,LEC
9,221.3486962481198,219.33255077596672,LEC
10,118.62872995804979,119.52701887526467,STR
11,229.16626117205422,226.58335984899148,LEC
12,126.50509308756483,123.03703470118174,LEC
13,223.81935627375702,226.4336109511111,STR
14,277.42274342222225,275.39577123060707,LEC
15,218.6440126770215,209.0985508112841,LEC
16,187.68233360649955,194.52321852344016,STR
17,242.24483862580385,246.42127083185727,STR
18,203.2242225145385,197.313468334866,LEC
19,176.98569243720107,184.0854771863202,STR
20,260.9788798691469,263.7454632997492,STR
21,285.4965040707017,279.45709114037265,LEC
22,178.70191536901265,175.97663695041848,LEC
23,212.35460336100104,217.18325939233964,STR
24,267.5466667048513,267.7317285870859,STR
25,279.54166613333336,,LEC
