Minisector,PIA,ALO,Fastest
0,276.510879010352,277.17740620902356,ALO
1,299.5755790952727,297.4506600021979,PIA
2,301.495654532943,299.4718878077097,PIA
3,186.02884748739962,169.06521376067482,PIA
4,122.17456787878845,121.47518472036579,PIA
5,238.2903482669197,238.89662905597882,ALO
6,283.0547441879456,281.80813249341725,PIA
7,295.3483886282433,293.4065827365079,PIA
8,181.14064700849582,169.49880532466713,PIA
9,138.8810778282705,142.75948310241264,ALO
10,250.84306205857834,252.75268452697026,ALO
11,288.5693993074968,289.66710602183457,ALO
12,299.9086498291573,296.76893094492755,PIA
13,288.29436870350577,281.38355611760784,PIA
14,306.2423026053333,302.583856422029,PIA
15,310.3704337721212,307.2466263854819,PIA
16,258.09876271725716,246.78580828813278,PIA
17,222.23808146951427,226.33539721937626,ALO
18,277.8775216510145,278.78589972858373,ALO
19,305.99135765790476,304.7875002408421,PIA
20,314.51531221333335,308.1560818916787,PIA
21,249.93842457766235,233.14544656548406,PIA
22,266.5382441470037,262.38966755488434,PIA
23,138.51154755058732,135.7375104170544,PIA
24,212.07061904147466,216.19737554991062,ALO
