Minisector,GAS,PER,Fastest
0,291.4635416533333,294.81929835789475,PER
1,232.8860908964263,220.46321794801125,GAS
2,144.81745579557725,143.99266935880155,GAS
3,219.66275883949555,222.67114910116405,PER
4,163.1660157,157.34173924200945,GAS
5,169.0862826420891,171.30914590736032,PER
6,247.59387755102043,247.49787307597745,GAS
7,271.7463094857143,270.9081251047619,GAS
8,279.28055555555557,279.2763157894737,GAS
9,235.8677084,263.41589216761906,PER
10,228.07819444444445,243.20963777300648,PER
11,232.98647186147184,243.34118373330597,PER
12,203.4676281025641,206.69445833284396,PER
13,138.29285356858614,140.53495864695435,PER
14,148.23401594069253,149.83483472552734,PER
15,177.3063887593651,188.00467811691098,PER
16,254.00505424141426,257.40980816497296,PER
17,233.43167701863354,228.6556169701559,GAS
18,112.66443861946472,117.47419784025892,PER
19,195.2421294617284,202.52697460990314,PER
20,188.6728330957319,193.57598552214043,PER
21,227.08972561490683,234.20255654996427,PER
22,261.1497004775075,264.91867934331066,PER
23,277.2739137156924,281.18303219540064,PER
24,286.3500000533333,290.3668982518518,PER
