Minisector,ALB,HUL,Fastest
0,257.5192416609524,257.6965282573545,HUL
1,132.3295146881038,134.4453235510204,HUL
2,267.0114555365651,266.2716490269624,ALB
3,311.958000128,308.7768760496894,ALB
4,306.48901512727275,308.7513128237881,HUL
5,314.68516676266665,316.64422115555556,HUL
6,319.82136423108017,321.84187361656313,HUL
7,317.6003696715729,317.6401120950174,HUL
8,211.9084724667006,207.04428065957984,ALB
9,192.86635232470798,188.9725866185464,ALB
10,189.94415635405016,194.03640807142858,HUL
11,165.63638698314483,162.97800162081515,ALB
12,252.43167368878713,247.05802611933808,ALB
13,275.36146882048536,270.5095244952381,ALB
14,279.83960572014655,274.1164906144796,ALB
15,279.67177942941873,279.75154478920047,HUL
16,185.22957259816232,183.05778092450637,ALB
17,194.55941821273183,193.47988372551893,ALB
18,239.46856231250044,235.80734924533758,ALB
19,290.2334993449362,281.07448771248625,ALB
20,312.08710283809523,305.89033585643494,ALB
21,317.79021746086954,316.151035414221,ALB
22,314.1987849777778,312.616571672381,ALB
23,259.15994351854755,275.4806464846561,HUL
24,114.05386046380748,112.862505410255,ALB
25,226.89582933333332,229.08888746666665,HUL
