Minisector,GIO,NOR,Fastest
0,317.37105996190473,322.4640592253968,NOR
1,321.08981478095234,329.72337973333333,NOR
2,323.7887633156944,328.9749998814815,NOR
3,170.59287897555734,170.72239925571935,NOR
4,136.18330991715254,135.72807055012345,GIO
5,266.85433991111114,271.3157817909307,NOR
6,296.9355654144091,301.9206181869151,NOR
7,304.0029761015873,307.3125,NOR
8,261.47948033425547,253.58759280577718,GIO
9,150.77302405946574,150.98807279962085,NOR
10,216.0010400260152,216.05379551678266,NOR
11,230.13148069135804,223.3905613442177,GIO
12,197.52555291362305,196.3691443732602,GIO
13,272.8160976,277.0343177076605,NOR
14,303.31964266666665,309.9614884114286,NOR
15,311.06077381333336,316.54120716190477,NOR
16,245.089218414652,236.61190272451498,GIO
17,216.55861929195402,219.41626089791936,NOR
18,277.9139114203918,282.2804661748918,NOR
19,305.6808925485714,312.69690512,NOR
20,312.38874986666667,323.45288689523807,NOR
21,297.45277605706406,280.4395813818182,GIO
22,208.5752048101587,207.73057565976373,GIO
23,268.1464927455391,276.25000055652174,NOR
24,301.60456294603176,309.6218813409174,NOR
