Minisector,VET,GAS,Fastest
0,282.4895933000536,281.98869622648067,VET
1,295.61890326039946,297.30986540691174,GAS
2,243.81101054509415,249.41648003642857,GAS
3,120.94894859287628,122.6609797156975,GAS
4,146.02322692092162,145.50565276930905,VET
5,254.3806930582553,252.03720632381706,VET
6,256.20672374062406,253.31885958916666,VET
7,130.95450402706427,130.76306125867595,VET
8,251.09268820255224,250.28876790886875,VET
9,265.817091340472,268.3895833212121,GAS
10,220.0634828062257,216.49454365726749,VET
11,148.7455376644271,149.65540772659594,GAS
12,218.65772500491914,215.58277890369865,VET
13,261.92009436315914,261.9882665233622,GAS
14,118.57460971033343,120.05261696967617,GAS
15,206.2210428750628,210.39821095010507,GAS
16,260.9673791639611,262.3443788196795,GAS
17,286.37953374744774,288.2272124114949,GAS
18,297.15906448372596,297.51492411466467,GAS
19,300.7433499645454,299.8421052631579,VET
20,299.6467417966882,300.52552547472783,GAS
21,159.28041597749865,162.49979679436325,GAS
22,163.7857149806396,159.99464334610792,VET
23,205.3288904288447,201.06980198529465,VET
24,242.13464052329428,231.66169091276677,VET
25,267.80597104269725,,VET
