Minisector,RUS,TSU,Fastest
0,281.0456025657414,280.49700291333335,RUS
1,295.8429698117293,297.04450847558536,TSU
2,289.2019283324445,291.16722414626264,TSU
3,177.43044641196624,172.3230384508498,RUS
4,223.9477781026274,213.2132166702381,RUS
5,203.73380179676954,198.2396535487148,RUS
6,179.57464574637012,176.3679472849457,RUS
7,209.3131846154488,199.33856952962623,RUS
8,259.05127405686153,254.00262440263734,RUS
9,263.7133555000412,256.1888386064399,RUS
10,168.59182710762394,162.83028459190925,RUS
11,239.95683482043293,238.94376294629816,RUS
12,120.81299077476861,109.2305953423203,RUS
13,220.9306458172583,224.91783185646352,TSU
14,274.4138256349681,276.5675523265672,TSU
15,292.3362498618182,289.0311660608,RUS
16,215.9493779100936,196.62720683661755,RUS
17,184.57266936639436,185.7606349218034,TSU
18,268.03234085748915,266.7378144113834,RUS
19,289.693350029932,290.1238282722761,TSU
20,300.83407271782255,300.45242908257313,RUS
21,299.92674758119426,300.57025593881673,TSU
22,270.0881606487407,251.63353080376217,RUS
23,117.2486692517741,112.62174946644029,RUS
24,240.21141205131912,238.84993251102836,RUS
25,267.14642651428574,,RUS
