Minisector,PER,COL,Fastest
0,244.06300834690552,241.73241297026524,PER
1,281.25199186463493,279.6548809194374,PER
2,192.42798044940804,191.20297520619312,PER
3,147.23223799673187,163.6534108480039,COL
4,255.59912771493396,253.727686594405,PER
5,274.6145616563348,267.94127362055934,PER
6,241.0714524229308,240.49231403714285,PER
7,207.78288657607916,213.23680735930733,COL
8,159.7465431028751,163.08438517477651,COL
9,211.45273358058927,213.16765067564697,COL
10,268.56846320666665,267.69759102305267,PER
11,137.8699418410149,131.23199040169703,PER
12,205.51460904607083,210.85909465020578,COL
13,272.452110777947,273.1606145028091,COL
14,296.3744286648575,294.1713888888889,PER
15,306.8057967541418,304.82808585858584,PER
16,246.99575965714288,255.52943293784486,COL
17,133.5770092975014,129.88109597649785,PER
18,125.98828890454774,128.85003583013386,COL
19,120.36875553736654,122.93031260965087,COL
20,221.91555266859564,223.8429696969697,COL
21,258.57495148227963,260.3801759566544,COL
22,245.3281913171236,242.15341937897495,PER
23,218.5307418223244,223.32675618596346,COL
24,140.8225215040453,136.53030206491425,PER
25,,213.09285851428572,COL
