Minisector,TSU,PER,Fastest
0,309.61305880242423,307.9995019788101,TSU
1,136.15422893963606,145.44106446509926,PER
2,207.39907296446367,212.32884492913038,PER
3,271.0627501057173,271.8636362938932,PER
4,308.68405945131315,310.96120046553483,PER
5,312.2843465919212,318.3794371733333,PER
6,146.20487124473837,149.18627801212347,PER
7,241.0297693480635,238.75418257258968,TSU
8,116.57637206259452,117.37136490462382,PER
9,143.06609613072735,142.80805627576902,TSU
10,268.305630903655,267.0499940385184,TSU
11,298.22994780666664,297.9325002417316,TSU
12,254.43927534525875,256.04171600235156,PER
13,149.12529968093554,150.16250114975057,PER
14,270.2787563436903,269.28501151966196,TSU
15,306.05434076298184,304.37941712761904,TSU
16,321.06203595847745,321.4341837305263,PER
17,327.73147414864434,330.13770475539394,PER
18,332.3008887542857,332.38980444554255,PER
19,335.9815373184265,328.94216996,TSU
20,239.5476780047649,224.4162956736631,TSU
21,151.64068555067433,152.30980987983003,PER
22,272.0233231938462,270.6619479079143,TSU
23,308.46201130890154,308.77526290438095,PER
24,324.2246475531313,324.0467913700855,TSU
25,,321.9937496,PER
