Minisector,LEC,STR,Fastest
0,305.3894031489645,301.6878595440116,LEC
1,321.3503434901099,319.8206765171501,LEC
2,295.0924613165121,295.48069030647343,STR
3,110.79251139037027,108.54423284930556,LEC
4,226.68660753667825,229.59657488446265,STR
5,273.0789913483881,275.7008925922078,STR
6,181.43618435888197,190.48233595269232,STR
7,172.82548405539026,168.1825068671439,LEC
8,212.5007084171722,198.66298879692314,LEC
9,220.94080750949956,210.84035918448154,LEC
10,115.65828590158065,116.72741450744367,STR
11,232.1711330276746,222.60868066964503,LEC
12,119.71667540115425,112.06667664490666,LEC
13,227.28467573968254,235.8819793757627,STR
14,275.92728867776543,287.31983213959325,STR
15,230.30823289904762,202.96813085535027,LEC
16,195.6064441643925,205.2890035297052,STR
17,252.46289806517288,243.7582263872026,LEC
18,186.66213880157719,186.12236991581617,LEC
19,187.6840835535972,202.05694279054768,STR
20,264.264221426087,266.77052496,STR
21,289.8570575784917,288.48922399220555,LEC
22,176.34996888606972,161.39850755156078,LEC
23,212.96965854052758,227.16732851984443,STR
24,271.907838498355,274.14061169076257,STR
